	ensembl_gene_id	hgnc_symbol
1	ENSG00000003989	SLC7A2
2	ENSG00000065613	SLK
3	ENSG00000110063	DCPS
4	ENSG00000113905	HRG
5	ENSG00000115310	RTN4
6	ENSG00000117143	UAP1
7	ENSG00000121310	ECHDC2
8	ENSG00000123453	SARDH
9	ENSG00000130812	ANGPTL6
10	ENSG00000133027	PEMT
11	ENSG00000135363	LMO2
12	ENSG00000135423	GLS2
13	ENSG00000137285	TUBB2B
14	ENSG00000138028	CGREF1
15	ENSG00000138030	KHK
16	ENSG00000138768	USO1
17	ENSG00000139344	AMDHD1
18	ENSG00000139547	RDH16
19	ENSG00000143546	S100A8
20	ENSG00000143819	EPHX1
21	ENSG00000148180	GSN
22	ENSG00000152492	CCDC50
23	ENSG00000159200	RCAN1
24	ENSG00000165152	PGAP4
25	ENSG00000165671	NSD1
26	ENSG00000169764	UGP2
27	ENSG00000184076	UQCR10
28	ENSG00000198682	PAPSS2
29	ENSG00000200086	RNU6-433P
30	ENSG00000205403	CFI
31	ENSG00000213853	EMP2
32	ENSG00000231866	
33	ENSG00000233055	
34	ENSG00000236882	LINC01554
35	ENSG00000240729	
36	ENSG00000257923	CUX1
37	ENSG00000260310	
38	ENSG00000272219	
39	ENSG00000272574	
