Gen 	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12820.272	0.101796	62.081
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12927.094	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12822.034	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12897.620	0.675587	130.128
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12923.955	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12833.258	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12773.198	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12730.026	0.245621	44.866
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12390.353	0.000009	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12810.700	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12902.239	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12881.296	1.214142	180.945
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13063.235	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12811.718	0.344190	68.403
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12936.190	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13020.591	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12955.503	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13024.887	0.870895	385.460
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12925.362	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12891.079	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12900.556	0.000003	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12891.776	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12969.983	1.268489	208.625
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12906.197	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13187.271	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13015.191	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12961.829	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13243.675	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12801.894	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12915.548	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13029.966	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13025.101	0.000003	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12810.313	0.000003	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12847.794	0.000002	0.000
