Gen 	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	316.464	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	314.427	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	310.271	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	309.196	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	307.817	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	315.858	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	314.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	307.596	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	307.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	306.396	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	308.131	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	309.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	316.902	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	355.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	312.106	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	325.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	370.540	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	339.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	331.077	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	319.555	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	348.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	330.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	339.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	318.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	333.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	331.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	353.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	351.674	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	379.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	351.443	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	303.561	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	316.134	0.000000	0.000
