Gen 	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	331.066	0.864203	13.610
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	315.629	0.479682	1.507
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	312.771	0.440228	1.629
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	307.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	320.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	345.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	310.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	296.751	0.552884	2.354
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	296.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	310.138	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	315.258	0.762863	3.658
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	313.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	307.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	313.637	0.474289	2.307
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	327.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	335.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	325.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	358.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	325.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	320.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	307.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	326.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	332.096	0.346302	1.458
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	328.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	363.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	329.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	328.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	360.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	306.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	335.568	0.313635	1.230
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	346.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	352.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	336.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	310.000	0.000000	0.000
