Gen 	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	314.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	313.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	308.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	310.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	306.556	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	314.126	2.049275	8.598
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	311.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	304.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	304.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	301.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	304.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	307.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	313.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	352.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	310.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	322.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	372.388	0.252577	2.042
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	337.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	328.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	319.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	345.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	327.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	336.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	315.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	330.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	328.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	350.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	349.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	376.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	347.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	305.000	0.000000	0.000
ENSG00000165671|ENST00000508896|NSD1|protein_coding|protein_coding	585	310.000	0.000000	0.000
