Gen	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	341.208	3.483492	56.541
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	315.747	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	314.230	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	310.861	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	328.703	3.549904	21.699
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	348.194	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	311.318	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	298.274	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	299.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	311.852	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	316.255	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	321.271	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	317.519	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	314.726	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	330.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	338.818	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	328.464	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	365.515	0.732330	9.096
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	327.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	320.807	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	310.738	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	329.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	333.573	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	323.030	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	366.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	331.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	331.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	367.171	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	307.314	1.986949	6.938
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	339.659	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	349.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	355.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	339.000	0.000000	0.000
ENSG00000257923|ENST00000558469|CUX1|protein_coding|processed_transcript	588	312.649	0.000000	0.000
