"gene"	"event"	"dpsi"	"pval"
"ENSG00000003989;MX:chr8:17409495-17412069:17412208-17415804:17409495-17412455:17412591-17415804:+"	"ENSG00000003989"	"MX"	-0.2893065888	0.023976024
"ENSG00000065613;SE:chr10:105768114-105770574:105770666-105777918:+"	"ENSG00000065613"	"SE"	0.3884195633	0.017982018
"ENSG00000110063;SE:chr11:126201445-126208181:126208294-126213202:+"	"ENSG00000110063"	"SE"	-0.3551459379	0.0084915085
"ENSG00000113905;A3:chr3:186386840-186387376:186386840-186387727:+"	"ENSG00000113905"	"A3"	-0.1006374713	0.045954046
"ENSG00000113905;RI:chr3:186390576:186390656-186392878:186392979:+"	"ENSG00000113905"	"RI"	-0.1006374713	0.045954046
"ENSG00000115310_and_ENSG00000200086;AF:chr2:55214834-55237223:55237585:55214834-55276881:55277680:-"	"ENSG00000115310;ENSG00000200086"	"AF"	0.4340885426	0.003996004
"ENSG00000117143_and_ENSG00000272574;SE:chr1:162560301-162562522:162562572-162567582:+"	"ENSG00000117143;ENSG00000272574"	"SE"	0.225980407	0.047952048
"ENSG00000121310_and_ENSG00000231866;AF:chr1:53364896-53370318:53370519:53364896-53377238:53377327:-"	"ENSG00000121310;ENSG00000231866"	"AF"	-0.3714453326	0.049034299
"ENSG00000121310_and_ENSG00000231866;AF:chr1:53377462-53378426:53379016:53377462-53379567:53379602:-"	"ENSG00000121310;ENSG00000231866"	"AF"	-0.4248876713	0.049034299
"ENSG00000121310_and_ENSG00000231866;AF:chr1:53377462-53378426:53379016:53377462-53387225:53387439:-"	"ENSG00000121310;ENSG00000231866"	"AF"	-0.2983918834	0.049034299
"ENSG00000121310_and_ENSG00000231866;AF:chr1:53377462-53379567:53379602:53377462-53387155:53387204:-"	"ENSG00000121310;ENSG00000231866"	"AF"	0.49862854	0.049034299
"ENSG00000121310_and_ENSG00000231866;AF:chr1:53377462-53379567:53379602:53377462-53387225:53387398:-"	"ENSG00000121310;ENSG00000231866"	"AF"	0.3343931301	0.049034299
"ENSG00000121310_and_ENSG00000231866;AF:chr1:53377462-53379567:53379602:53377462-53387225:53387434:-"	"ENSG00000121310;ENSG00000231866"	"AF"	0.3867061174	0.049034299
"ENSG00000123453;AF:chr9:136599325-136603376:136603479:136599325-136604815:136605042:-"	"ENSG00000123453"	"AF"	-0.4255442303	0.011988012
"ENSG00000130812;A5:chr19:10204295-10204369:10204295-10204489:-"	"ENSG00000130812"	"A5"	0.4417581412	0.007992008
"ENSG00000133027;AF:chr17:17480341-17485581:17485745:17480341-17494845:17495014:-"	"ENSG00000133027"	"AF"	0.4746682456	0.014985015
"ENSG00000135363;A3:chr11:33886475-33890892:33886363-33890892:-"	"ENSG00000135363"	"A3"	0.2155266947	0.0484515485
"ENSG00000135423;A3:chr12:56872965-56873564:56872931-56873564:-"	"ENSG00000135423"	"A3"	0.3796421086	0.041958042
"ENSG00000137285;AF:chr6:3226903-3227721:3227969:3226903-3231791:3231964:-"	"ENSG00000137285"	"AF"	-0.5274037624	0.0404595405
